phoneme_label,l1_status,gender,n_tokens,f1_missing_prop,f2_missing_prop,f3_missing_prop,f0_missing_prop,scg_missing_prop
a,L2,f,35,0.0,0.0,0.0,0.0,1.0
b,L2,f,1,0.0,0.0,1.0,0.0,1.0
d,L2,f,13,0.0,0.0,1.0,0.0,1.0
e,L2,f,2,0.0,0.0,0.0,0.0,1.0
f,L2,f,12,0.0,0.0,1.0,1.0,0.0
i,L2,f,17,0.0,0.0,0.0,0.0,1.0
j,L2,f,4,0.0,0.0,1.0,0.0,1.0
k,L2,f,3,0.0,0.0,1.0,1.0,1.0
l,L2,f,8,0.0,0.0,1.0,0.0,1.0
n,L2,f,1,0.0,0.0,1.0,0.0,1.0
o,L2,f,1,0.0,0.0,0.0,0.0,1.0
p,L2,f,3,0.0,0.0,1.0,0.6666666666666666,1.0
s,L2,f,6,0.0,0.0,1.0,1.0,0.0
t,L2,f,15,0.0,0.0,1.0,1.0,1.0
t͡s,L2,f,1,0.0,0.0,1.0,1.0,1.0
u,L2,f,6,0.0,0.0,0.0,0.0,1.0
v,L2,f,1,0.0,0.0,1.0,0.0,0.0
w,L2,f,24,0.0,0.0,1.0,0.041666666666666664,1.0
y,L2,f,5,0.0,0.0,0.0,0.0,1.0
z,L2,f,1,0.0,0.0,1.0,0.0,0.0
ø,L2,f,2,0.0,0.0,0.0,0.0,1.0
ɑ,L2,f,1,0.0,0.0,0.0,0.0,1.0
ɑ̃,L2,f,2,0.0,0.0,0.0,0.0,1.0
ɛ,L2,f,3,0.0,0.0,0.0,0.0,1.0
ɡ,L2,f,2,0.0,0.0,1.0,0.0,1.0
ʀ,L2,f,1,0.0,0.0,1.0,0.0,1.0
ʁ,L2,f,24,0.0,0.0,1.0,0.5416666666666666,0.0
ʃ,L2,f,4,0.0,0.0,1.0,1.0,0.0
ʒ,L2,f,2,0.0,0.0,1.0,0.0,0.0
