speaker_id,f1_mean,f1_sd,f2_mean,f2_sd,f3_mean,f3_sd,n_vowel_tokens
AB,565.1375805021631,171.71291396948473,1780.6285820441583,561.877271972605,2976.5197613266046,386.18090175854917,441
AB2,592.9420480355312,182.7218452609241,1717.4543756787657,544.3734403366325,2625.787349687768,473.59129068738963,441
AG,455.157223665989,155.59449828098917,1400.5058641823782,414.7552341752623,2507.303908162779,262.94112835522304,440
AN,448.2908930107318,150.18487595788048,1320.4582923688338,414.91453896716797,2510.927639961049,347.8024351506244,445
AR,459.18006270584686,131.1087351538658,1397.082097836697,404.61681046273753,2452.8913232301493,257.12377351718305,440
CB,438.90228177186304,112.69411752943545,1486.1446713375306,433.9069732637452,2576.0843937473355,326.4866762042989,446
DD,454.8993156817302,221.4583213169706,1642.1852283079168,639.0270378447209,2881.5986570116083,398.7916349054892,440
KB,586.5394459457661,205.04136451225295,1675.138687485956,637.3396312130989,2964.072363650635,453.8825826084041,477
KL,457.6838590663109,159.48882078483973,1383.7063102553066,502.92984467441806,2438.9479910059986,336.6769121275758,442
KV,517.3627472122228,158.29765638527738,1477.6394504049433,608.6924976246307,2613.53375206498,321.1911543952779,434
MD,415.5056167796619,163.5095023028532,1345.8283069184854,392.2587925822444,2415.692637567432,352.93140439292375,452
MM,554.9913231250495,195.81529431050603,1606.2610260664521,504.61284162451557,2635.0191596281434,328.2548516347474,464
RN,463.3226347706395,184.82552381102275,1705.7067649858407,598.6762723339278,2869.9526377212337,286.10742454922234,455
SD,523.3853084083166,101.9121701560613,1612.9250590322918,619.2973352052503,2797.0811356598506,250.93428753828286,447
SH,466.85300879100754,197.66719648279505,1407.378755178763,386.1634099970972,2360.6829843181977,204.16385174447785,444
SV,475.8028696075983,127.00359280556117,1384.4012913355375,513.8738525597664,2546.018521709238,386.8521215351641,443
UR,559.6602857262576,198.85841457206544,1725.1850610311562,595.0116695587488,2842.2008253627923,386.4621169909896,442
UV,620.76761918695,216.40671610827962,1666.2070612362156,510.7100759186279,2742.3579210104494,373.74845351259074,436
YC,566.3700703597499,151.75613909380272,1645.5099926137352,553.668865181458,2638.9368366260837,367.78013474542627,461
