phoneme_label,total_variance_f1,inter_speaker_variance_f1,intra_speaker_variance_f1,residual_variance_f1
i,0.14358214129447333,0.04340256083747695,0.10286722575558019,-0.002687645298583813
y,0.7894143450341194,0.12050829428494023,0.6610808892673614,0.007825161481817777
u,0.14939371745054147,0.0352221823220614,0.1221537742493298,-0.007982239120849721
e,0.2228167303246415,0.041670025454376085,0.20450914082729058,-0.02336243595702517
ø,0.0885690938788259,0.05630798782990386,0.03752232651022874,-0.005261220461306698
o,0.05556648455941251,0.03494680476387538,0.02636587200752707,-0.00574619221198994
ɛ,0.1508135396760556,0.06601610682252297,0.09249320105043202,-0.007695768196899391
œ,,,,
ə,0.8166041443912254,0.20888398673527606,0.47531391892832886,0.13240623872762047
a,0.60063460746083,0.02858080217028082,0.6184755424624088,-0.0464217371718596
ɑ,0.20631795871006525,0.22984048677340072,0.1678536315491395,-0.19137615961247495
