subset,feature,rough_low,rough_high,n_tokens,n_nonmissing,n_flagged,flagged_prop_nonmissing,min_value,max_value
all_tokens,f1_hz,100.0,1200.0,22919,22919,1461,0.06374623674680396,83.73224626785795,2645.504900171562
all_tokens,f2_hz,300.0,4000.0,22919,22919,4,0.00017452768445394651,259.5981913600797,3455.7904068624794
all_tokens,f0_mean_hz,50.0,500.0,22919,15915,329,0.020672321709079483,74.985264853364,598.8232156273777
oral_vowels,f1_hz,100.0,1200.0,8277,8277,16,0.0019330675365470582,94.9513828843437,1535.469016232292
oral_vowels,f2_hz,300.0,4000.0,8277,8277,1,0.00012081672103419114,297.6912919634845,3051.9378247454692
oral_vowels,f0_mean_hz,50.0,500.0,8277,7892,32,0.0040547389761784085,75.10010757825744,584.7733911969724
non_oral_tokens,f1_hz,100.0,1200.0,14642,14642,1445,0.09868870372899877,83.73224626785795,2645.504900171562
non_oral_tokens,f2_hz,300.0,4000.0,14642,14642,3,0.00020489004234394207,259.5981913600797,3455.7904068624794
non_oral_tokens,f0_mean_hz,50.0,500.0,14642,8023,297,0.03701857160663093,74.985264853364,598.8232156273777
