analysis,representation,phoneme_label,cluster_k2,truth
consonant_vowel,acoustic,i,1,vowel
consonant_vowel,acoustic,y,1,vowel
consonant_vowel,acoustic,u,1,vowel
consonant_vowel,acoustic,e,1,vowel
consonant_vowel,acoustic,ø,1,vowel
consonant_vowel,acoustic,o,1,vowel
consonant_vowel,acoustic,ɛ,1,vowel
consonant_vowel,acoustic,œ,1,vowel
consonant_vowel,acoustic,ə,1,vowel
consonant_vowel,acoustic,a,1,vowel
consonant_vowel,acoustic,ɑ,1,vowel
consonant_vowel,acoustic,p,2,consonant
consonant_vowel,acoustic,t,2,consonant
consonant_vowel,acoustic,k,2,consonant
consonant_vowel,acoustic,f,2,consonant
consonant_vowel,acoustic,s,2,consonant
consonant_vowel,acoustic,ʃ,2,consonant
consonant_vowel,acoustic,ʒ,2,consonant
consonant_vowel,acoustic,ʁ,1,consonant
consonant_vowel,acoustic,l,1,consonant
consonant_vowel,acoustic,n,1,consonant
consonant_vowel,whisper_layer20,i,2,vowel
consonant_vowel,whisper_layer20,y,2,vowel
consonant_vowel,whisper_layer20,u,2,vowel
consonant_vowel,whisper_layer20,e,2,vowel
consonant_vowel,whisper_layer20,ø,2,vowel
consonant_vowel,whisper_layer20,o,2,vowel
consonant_vowel,whisper_layer20,ɛ,2,vowel
consonant_vowel,whisper_layer20,œ,2,vowel
consonant_vowel,whisper_layer20,ə,2,vowel
consonant_vowel,whisper_layer20,a,1,vowel
consonant_vowel,whisper_layer20,ɑ,1,vowel
consonant_vowel,whisper_layer20,p,2,consonant
consonant_vowel,whisper_layer20,t,2,consonant
consonant_vowel,whisper_layer20,k,2,consonant
consonant_vowel,whisper_layer20,f,1,consonant
consonant_vowel,whisper_layer20,s,2,consonant
consonant_vowel,whisper_layer20,ʃ,2,consonant
consonant_vowel,whisper_layer20,ʒ,2,consonant
consonant_vowel,whisper_layer20,ʁ,2,consonant
consonant_vowel,whisper_layer20,l,2,consonant
consonant_vowel,whisper_layer20,n,2,consonant
consonant_vowel,xlsr_layer18,i,2,vowel
consonant_vowel,xlsr_layer18,y,2,vowel
consonant_vowel,xlsr_layer18,u,2,vowel
consonant_vowel,xlsr_layer18,e,2,vowel
consonant_vowel,xlsr_layer18,ø,2,vowel
consonant_vowel,xlsr_layer18,o,2,vowel
consonant_vowel,xlsr_layer18,ɛ,2,vowel
consonant_vowel,xlsr_layer18,œ,2,vowel
consonant_vowel,xlsr_layer18,ə,2,vowel
consonant_vowel,xlsr_layer18,a,2,vowel
consonant_vowel,xlsr_layer18,ɑ,2,vowel
consonant_vowel,xlsr_layer18,p,1,consonant
consonant_vowel,xlsr_layer18,t,1,consonant
consonant_vowel,xlsr_layer18,k,1,consonant
consonant_vowel,xlsr_layer18,f,1,consonant
consonant_vowel,xlsr_layer18,s,1,consonant
consonant_vowel,xlsr_layer18,ʃ,1,consonant
consonant_vowel,xlsr_layer18,ʒ,1,consonant
consonant_vowel,xlsr_layer18,ʁ,1,consonant
consonant_vowel,xlsr_layer18,l,2,consonant
consonant_vowel,xlsr_layer18,n,2,consonant
