representation,overall_accuracy,macro_f1,n_tokens,group
acoustic,0.6874471426845475,0.4672166562489231,8277,
acoustic,0.7099412215691285,0.5016102634773825,3913,L1
acoustic,0.6672777268560953,0.4284171955822156,4364,L2
whisper_layer20,0.8225202368007732,0.734506410077796,8277,
whisper_layer20,0.8696652185024278,0.772369359533069,3913,L1
whisper_layer20,0.7802474793767186,0.7084802795151469,4364,L2
xlsr_layer18,0.7902621722846442,0.7077624970286339,8277,
xlsr_layer18,0.7991311014566829,0.6879040978064936,3913,L1
xlsr_layer18,0.7823098075160403,0.7212449364752991,4364,L2
