phoneme_label,feature,estimate_l2_minus_l1_hz,ci95_low_hz,ci95_high_hz,n_l1_speakers,n_l2_speakers,rope_low_hz,rope_high_hz,rope_classification
i,f1_hz,18.28235098172337,-39.828218259512894,76.39292022295963,9,10,-20.0,20.0,Indeterminate
i,f2_hz,365.37612476044114,181.96126475961586,548.7909847612664,9,10,-20.0,20.0,Non-equivalent
y,f1_hz,-24.67013375990956,-63.8867969833681,14.546529463548978,9,10,-20.0,20.0,Indeterminate
y,f2_hz,119.75131668698032,-80.64987169850494,320.1525050724656,9,10,-20.0,20.0,Indeterminate
u,f1_hz,-3.3837424434688046,-43.269663908082116,36.50217902114451,9,10,-20.0,20.0,Indeterminate
u,f2_hz,145.70453945812653,19.509061779162664,271.9000171370904,9,10,-20.0,20.0,Indeterminate
e,f1_hz,50.91531336562889,10.650802141785348,91.17982458947243,9,10,-20.0,20.0,Indeterminate
e,f2_hz,233.46700288284273,32.96378519970773,433.97022056597774,9,10,-20.0,20.0,Non-equivalent
ø,f1_hz,67.68545919461019,9.504749601977153,125.86616878724323,9,10,-20.0,20.0,Indeterminate
ø,f2_hz,182.97165394607237,-8.306391341862565,374.24969923400727,9,10,-20.0,20.0,Indeterminate
o,f1_hz,45.78863267973878,4.130375893278696,87.44688946619887,9,10,-20.0,20.0,Indeterminate
o,f2_hz,147.0198324992616,-22.327441888873807,316.36710688739703,9,10,-20.0,20.0,Indeterminate
ɛ,f1_hz,45.776701798746274,-13.41522611741835,104.96862971491089,9,10,-20.0,20.0,Indeterminate
ɛ,f2_hz,176.18686465429414,0.9239164353864169,351.44981287320184,9,10,-20.0,20.0,Indeterminate
œ,f1_hz,,,,0,1,-20.0,20.0,Insufficient data
œ,f2_hz,,,,0,1,-20.0,20.0,Insufficient data
ə,f1_hz,108.31616682037384,-2.1773460036199737,218.80967964436763,5,9,-20.0,20.0,Indeterminate
ə,f2_hz,84.71102404595854,-198.6171595584256,368.0392076503427,5,9,-20.0,20.0,Indeterminate
a,f1_hz,101.36401271920249,29.081749930000356,173.64627550840464,9,10,-20.0,20.0,Non-equivalent
a,f2_hz,124.40090222871936,24.424132227673255,224.37767222976547,9,10,-20.0,20.0,Non-equivalent
ɑ,f1_hz,153.9761435948326,44.38945620872627,263.5628309809389,9,10,-20.0,20.0,Non-equivalent
ɑ,f2_hz,220.97068384645195,48.63087434763011,393.3104933452738,9,10,-20.0,20.0,Non-equivalent
