representation,phoneme_label,estimate_l1_l2_cosine_distance,ci95_low,ci95_high,rope_low,rope_high,rope_classification,noise_floor_intra_speaker_cosine,n_bootstrap
whisper_layer20,i,0.030689075651800013,0.01954225369682044,0.05829797366029195,0.0,0.3875357411053358,Equivalent,0.3875357411053358,2000
whisper_layer20,y,0.04286601972052084,0.03159370298657944,0.07082798590979479,0.0,0.6257716506959171,Equivalent,0.6257716506959171,2000
whisper_layer20,u,0.034110263421660125,0.022767107512762758,0.056372623031980956,0.0,0.6293739280300614,Equivalent,0.6293739280300614,2000
whisper_layer20,e,0.036723791488186386,0.021125694980457,0.07103408373139536,0.0,0.49918630726007746,Equivalent,0.49918630726007746,2000
whisper_layer20,ø,0.048971332229209796,0.030444071905724547,0.09077693604332703,0.0,0.20459297811431468,Equivalent,0.20459297811431468,2000
whisper_layer20,o,0.014207574225678199,0.008489554017421744,0.030029072198403027,0.0,0.05744426661652173,Equivalent,0.05744426661652173,2000
whisper_layer20,ɛ,0.04045221118483233,0.028970983792286034,0.06430697533138369,0.0,0.5588340699607056,Equivalent,0.5588340699607056,2000
whisper_layer20,œ,,,,0.0,,Insufficient data,,0
whisper_layer20,ə,0.06800105296198622,0.05968408055985138,0.3181060359823019,0.0,0.36162096937420984,Equivalent,0.36162096937420984,1989
whisper_layer20,a,0.13162966022317257,0.07643930411823885,0.20625814843211923,0.0,0.7184338222623142,Equivalent,0.7184338222623142,2000
whisper_layer20,ɑ,0.04395267225743815,0.026708531372690855,0.1116115620103813,0.0,0.17085454902325523,Equivalent,0.17085454902325523,2000
