representation,phoneme_label,estimate,ci95_low,ci95_high,rope_low,rope_high,rope_classification,p_value,p_fdr_bh
acoustic_f1,i,18.28235098172337,-39.828218259512894,76.39292022295963,-20.0,20.0,Indeterminate,0.1674460184427613,0.2833701850569806
acoustic_f1,y,-24.67013375990956,-63.8867969833681,14.546529463548978,-20.0,20.0,Indeterminate,0.0002531163110052,0.0007955084060163
acoustic_f1,u,-3.3837424434688046,-43.269663908082116,36.50217902114451,-20.0,20.0,Indeterminate,1.3023762283562576e-15,1.432613851191883e-14
acoustic_f1,e,50.91531336562889,10.650802141785348,91.17982458947243,-20.0,20.0,Indeterminate,0.8056982378743014,0.9847422907352572
acoustic_f1,ø,67.68545919461019,9.504749601977153,125.86616878724323,-20.0,20.0,Indeterminate,0.0060742497826884,0.0148481661354605
acoustic_f1,o,45.78863267973878,4.130375893278696,87.44688946619887,-20.0,20.0,Indeterminate,0.3136952795857858,0.4313310094304555
acoustic_f1,ɛ,45.776701798746274,-13.41522611741835,104.96862971491089,-20.0,20.0,Indeterminate,2.1652644556030377e-06,1.1908954505816709e-05
acoustic_f1,œ,,,,-20.0,20.0,Insufficient data,,1.0
acoustic_f1,ə,108.31616682037384,-2.1773460036199737,218.80967964436763,-20.0,20.0,Indeterminate,0.2817738804726578,0.4132683580265648
acoustic_f1,a,101.36401271920249,29.081749930000356,173.64627550840464,-20.0,20.0,Non-equivalent,0.0336145989530772,0.07395211769677
acoustic_f1,ɑ,153.9761435948326,44.38945620872627,263.5628309809389,-20.0,20.0,Non-equivalent,0.0023912697901056,0.0065759919227904
whisper_layer20,i,0.030689075651800013,0.01954225369682044,0.05829797366029195,0.0,0.3875357411053358,Equivalent,0.1674460184427613,0.2833701850569806
whisper_layer20,y,0.04286601972052084,0.03159370298657944,0.07082798590979479,0.0,0.6257716506959171,Equivalent,0.0002531163110052,0.0007955084060163
whisper_layer20,u,0.034110263421660125,0.022767107512762758,0.056372623031980956,0.0,0.6293739280300614,Equivalent,1.3023762283562576e-15,1.432613851191883e-14
whisper_layer20,e,0.036723791488186386,0.021125694980457,0.07103408373139536,0.0,0.49918630726007746,Equivalent,0.8056982378743014,0.9847422907352572
whisper_layer20,ø,0.048971332229209796,0.030444071905724547,0.09077693604332703,0.0,0.20459297811431468,Equivalent,0.0060742497826884,0.0148481661354605
whisper_layer20,o,0.014207574225678199,0.008489554017421744,0.030029072198403027,0.0,0.05744426661652173,Equivalent,0.3136952795857858,0.4313310094304555
whisper_layer20,ɛ,0.04045221118483233,0.028970983792286034,0.06430697533138369,0.0,0.5588340699607056,Equivalent,2.1652644556030377e-06,1.1908954505816709e-05
whisper_layer20,œ,,,,0.0,,Insufficient data,,1.0
whisper_layer20,ə,0.06800105296198622,0.05968408055985138,0.3181060359823019,0.0,0.36162096937420984,Equivalent,0.2817738804726578,0.4132683580265648
whisper_layer20,a,0.13162966022317257,0.07643930411823885,0.20625814843211923,0.0,0.7184338222623142,Equivalent,0.0336145989530772,0.07395211769677
whisper_layer20,ɑ,0.04395267225743815,0.026708531372690855,0.1116115620103813,0.0,0.17085454902325523,Equivalent,0.0023912697901056,0.0065759919227904
xlsr_layer18,i,0.07625847937823693,0.049200304542889144,0.13602365908557446,0.0,0.2776834111383077,Equivalent,0.1674460184427613,0.2833701850569806
xlsr_layer18,y,0.08406644013890718,0.056557694235525924,0.14932361511490905,0.0,0.4626917491790003,Equivalent,0.0002531163110052,0.0007955084060163
xlsr_layer18,u,0.07492422273527155,0.04734019790536158,0.14197720983841158,0.0,0.47440802896321377,Equivalent,1.3023762283562576e-15,1.432613851191883e-14
xlsr_layer18,e,0.13183684987477284,0.07676441594354846,0.2276148655858947,0.0,0.38503825168658484,Equivalent,0.8056982378743014,0.9847422907352572
xlsr_layer18,ø,0.14689992425752596,0.09914832054554237,0.24811971636583902,0.0,0.1845016545788834,Indeterminate,0.0060742497826884,0.0148481661354605
xlsr_layer18,o,0.06751192440252463,0.04717397772717087,0.14561927770472163,0.0,0.09146492133927502,Indeterminate,0.3136952795857858,0.4313310094304555
xlsr_layer18,ɛ,0.08294750680041085,0.05721085952405484,0.14310697783094173,0.0,0.4116449354279882,Equivalent,2.1652644556030377e-06,1.1908954505816709e-05
xlsr_layer18,œ,,,,0.0,,Insufficient data,,1.0
xlsr_layer18,ə,0.08206421325397928,0.0811455350266169,0.39952410356679524,0.0,0.3735668435522832,Indeterminate,0.2817738804726578,0.4132683580265648
xlsr_layer18,a,0.09564292941132879,0.07482710151415509,0.15458036108769385,0.0,0.5713604208327029,Equivalent,0.0336145989530772,0.07395211769677
xlsr_layer18,ɑ,0.10002226029960182,0.0686672059503766,0.24433137034218455,0.0,0.14074087681743738,Indeterminate,0.0023912697901056,0.0065759919227904
