phoneme_label,axis,n_l1,n_l2,midpoint_difference_l2_minus_l1,trajectory_difference_l2_minus_l1,absolute_difference_change,midpoint_p_fdr_bh,trajectory_p_fdr_bh,midpoint_significant_fdr_0_05,trajectory_significant_fdr_0_05,conclusion_changed
i,F1,766,869,0.018078363684050247,0.06241726466709463,0.04433890098304438,1.0,0.04278117069932637,False,True,True
i,F2,766,869,0.05909947856978559,0.005077967394692573,0.05402151117509302,1.289659371213313e-38,2.0666186169907274e-09,True,True,False
y,F1,97,163,-0.09737184019750089,-0.044993840250384,0.05237799994711689,0.06949102496239382,0.1912385911447942,False,False,False
y,F2,97,163,-0.2486362638672449,-0.22956901714367434,0.019067246723570574,0.0035449839760270207,0.0004444529866004223,True,True,False
u,F1,210,308,-0.1798156790453843,-0.06685312659615361,0.1129625524492307,1.1196281191846424e-13,8.245352988251798e-05,True,True,False
u,F2,210,308,0.21343170539570644,0.21615530431163266,0.0027235989159262175,2.3265794519067136e-08,2.825588132366181e-07,True,True,False
e,F1,43,101,0.17524110083693187,0.14449184048042107,0.030749260356510794,0.034012639348491365,0.07768099057702449,True,False,True
e,F2,43,101,-0.19990080350123973,-0.15050721618405083,0.0493935873171889,0.811313463672219,0.3756733292787233,False,False,False
ø,F1,65,107,0.12339423355023277,0.10944761565868655,0.01394661789154622,0.10732063468652352,0.08131283010810432,False,False,False
ø,F2,65,107,-0.0746678192552353,-0.02266427193816478,0.05200354731707052,0.811313463672219,0.5736885790535,False,False,False
o,F1,27,43,0.1121636892557002,0.11744236806556019,0.0052786788098599935,0.10732063468652352,0.04862086221436251,False,True,True
o,F2,27,43,0.1792629536453908,0.13907021558253518,0.040192738062855615,0.12221094695986516,0.1664557933540507,False,False,False
ɛ,F1,90,152,-0.18738014580488221,-0.15936805049995145,0.028012095304930762,0.001437987503615525,0.0039304462972354764,True,True,False
ɛ,F2,90,152,-0.26191844879439385,-0.1757817007098521,0.08613674808454175,0.10732063468652352,0.05654221407768269,False,False,False
œ,F1,0,1,,,,1.0,1.0,False,False,False
œ,F2,0,1,,,,1.0,1.0,False,False,False
ə,F1,16,60,0.5566391130578068,0.2227857910101438,0.33385332204766294,0.08458624467725548,0.5736885790535,False,False,False
ə,F2,16,60,0.022933992875135693,-0.09425736670930344,0.11719135958443913,0.8664162960081421,0.4874518100027444,False,False,False
a,F1,887,1562,-0.017508592714213567,-0.29888655911165163,0.28137796639743806,1.0,2.7400667673812096e-21,False,True,True
a,F2,887,1562,-0.08646803340469555,-0.1458261488108022,0.05935811540610664,0.811313463672219,4.070338623637113e-10,False,True,True
ɑ,F1,15,106,0.12762086957646357,0.3039916073397891,0.1763707377633255,0.811313463672219,0.04278117069932637,False,True,True
ɑ,F2,15,106,-0.0907315609861864,-0.13498707011236777,0.04425550912618137,1.0,0.8185275994849188,False,False,False
